,Year,Draw,Country,Artist,Song,Language,Place,Points
3,1996,04,Portugal,Lúcia Moniz,O meu coração não tem cor,Portuguese,6,92
4,1996,05,Cyprus,Constantinos,Mono gia mas (Μόνο για μας),Greek,9,72
5,1996,06,Malta,Miriam Christine,In a Woman's Heart,English,10,68
6,1996,07,Croatia,Maja Blagdan,Sveta ljubav,Croatian,4,98
7,1996,08,Austria,George Nussbaumer,Weil's dr guat got,Vorarlbergish,10,68
8,1996,09,Switzerland,Kathy Leander,Mon cœur l'aime,French,16,22
9,1996,10,Greece,Marianna Efstratiou,Emis forame to himona anixiatika(Εμείς φοράμε το χειμώνα ανοιξιάτικα),Greek,14,36
10,1996,11,Estonia,Maarja-Liis Ilus and Ivo Linna,Kaelakee hääl,Estonian,5,94
11,1996,12,Norway,Elisabeth Andreassen,I evighet,Norwegian,2,114
12,1996,13,France,Dan Ar Braz and l'Héritage des Celtes,Diwanit bugale,Breton,19,18
13,1996,14,Slovenia,Regina,Dan najlepših sanj,Slovene,21,16
14,1996,15,Netherlands,Maxine and Franklin Brown,De eerste keer,Dutch,7,78
15,1996,16,Belgium,Lisa del Bo,Liefde is een kaartspel,Dutch,16,22
16,1996,17,Ireland,Eimear Quinn,The Voice,English,1,162
17,1996,18,Finland,Jasmine,Niin kaunis on taivas,Finnish,23,9
18,1996,19,Iceland,Anna Mjöll,Sjúbídú,Icelandic,13,51
19,1996,20,Poland,Kasia Kowalska,Chcę znać swój grzech...,Polish,15,31
20,1996,21,Bosnia and Herzegovina,Amila Glamočak,Za našu ljubav,Bosnian,22,13
21,1996,22,Slovakia,Marcel Palonder,Kým nás máš,Slovak,18,19
22,1996,23,Sweden,One More Time,Den vilda,Swedish,3,100
0,1997,01,Cyprus,Hara and Andreas Konstantinou,Mana mou (Μάνα μου),Greek,5,98
1,1997,02,Turkey,Şebnem Paker and Grup Ethnic,Dinle,Turkish,3,121
2,1997,03,Norway,Tor Endresen,San Francisco,Norwegian,24,0
3,1997,04,Austria,Bettina Soriat,One Step,German,21,12
4,1997,05,Ireland,Marc Roberts,Mysterious Woman,English,2,157
5,1997,06,Slovenia,Tanja Ribič,Zbudi se,Slovene,10,60
6,1997,07,Switzerland,Barbara Berta,Dentro di me,Italian,22,5
